A	o	DT	0	det	3	0	root	0
net	o	JJ	1	amod	3	1	HasQuantity	5
heating	o	NN	2	compound	3	0	root	0
efficiency	o	NN	3	nsubj	7	0	root	0
of	o	IN	4	prep	3	0	root	0
50	o	CD	5	nummod	6	0	root	0
%	o	NN	6	pobj	4	0	root	0
is	o	VBZ	7	ROOT	7	0	root	0
similar	o	JJ	8	acomp	7	0	root	0
to	o	TO	9	prep	8	0	root	0
the	o	DT	10	det	12	0	root	0
heating	o	NN	11	compound	12	0	root	0
efficiency	o	NN	12	pobj	9	0	root	0
in	o	IN	13	prep	12	0	root	0
the	o	DT	14	det	16	0	root	0
jovian	o	JJ	15	amod	16	0	root	0
thermosphere	o	NN	16	pobj	13	0	root	0
(	o	-LRB-	17	punct	16	0	root	0
Waite	o	NNP	18	compound	20	0	root	0
et	o	CC	19	compound	20	0	root	0
al	o	NNP	20	appos	16	0	root	0
.	o	NNP	21	punct	7	0	root	0
,	o	,	22	punct	21	0	root	0
1983	o	CD	23	npadvmod	21	0	root	0
)	o	-RRB-	24	punct	7	0	root	0
,	o	,	25	punct	7	0	root	0
and	o	CC	26	cc	7	0	root	0
we	o	PRP	27	nsubj	29	0	root	0
may	o	MD	28	aux	29	0	root	0
consider	o	VB	29	conj	7	0	root	0
this	o	DT	30	dobj	29	0	root	0
as	o	IN	31	prep	29	0	root	0
a	o	DT	32	det	34	0	root	0
representative	o	JJ	33	amod	34	0	root	0
case	o	NN	34	pobj	31	0	root	0
of	o	IN	35	prep	34	0	root	0
a	o	DT	36	det	39	0	root	0
typical	ME	JJ	37	amod	39	37	HasPropety	1
gas	ME	NN	38	compound	39	0	root	0
giant	ME	NN	39	pobj	35	0	root	0
(	ME	-LRB-	40	punct	45	0	root	0
hereafter	ME	RB	41	advmod	45	0	root	0
,	ME	,	42	punct	45	0	root	0
the	ME	DT	43	det	45	0	root	0
H50	ME	CD	44	compound	45	0	root	0
model	ME	NN	45	appos	39	0	root	0
)	ME	-RRB-	46	punct	45	0	root	0
.	o	.	47	punct	29	0	root	0

The	o	DT	0	det	2	0	root	0
maximum	o	NN	1	amod	2	1	HasQuantity	8
temperature	o	NN	2	nsubj	7	0	root	0
in	o	IN	3	prep	2	0	root	0
the	o	DT	4	det	6	0	root	0
H50	ME	CD	5	compound	6	5	HasPropety	14
model	ME	NN	6	pobj	3	0	root	0
is	o	VBZ	7	ROOT	7	0	root	0
11	o	CD	8	attr	7	0	root	0
,	o	,	9	punct	8	0	root	0
500	o	CD	10	nummod	11	0	root	0
K	o	NN	11	nsubjpass	17	0	root	0
and	o	CC	12	cc	11	0	root	0
the	o	DT	13	det	15	0	root	0
temperature	o	NN	14	compound	15	14	HasQuantity	18
peak	o	NN	15	conj	11	0	root	0
is	o	VBZ	16	auxpass	17	0	root	0
located	o	VBN	17	conj	7	0	root	0
near	o	IN	18	prep	17	0	root	0
1.5Rp	o	NN	19	pobj	18	0	root	0
(	o	-LRB-	20	punct	24	0	root	0
p	ME	NN	21	intj	24	21	HasQuantity	23
=	o	-LRB-	22	punct	24	0	root	0
0.3	o	CD	23	nummod	24	0	root	0
nbar	o	NN	24	appos	19	0	root	0
)	o	-RRB-	25	punct	24	0	root	0
.	o	.	26	punct	17	0	root	0

As	o	IN	0	mark	2	0	root	0
ηnet	o	NNP	1	nsubj	2	0	root	0
varies	o	VBZ	2	advcl	27	0	root	0
from	o	IN	3	prep	2	0	root	0
0.1	o	CD	4	pobj	3	0	root	0
to	o	TO	5	prep	3	0	root	0
1	o	CD	6	pobj	5	0	root	0
,	o	,	7	punct	27	0	root	0
the	o	DT	8	det	10	0	root	0
peak	o	NN	9	compound	10	0	root	0
shifts	o	VBZ	10	nsubj	27	0	root	0
from	o	IN	11	prep	10	0	root	0
1.4Rp	o	NNP	12	pobj	11	0	root	0
(	o	-LRB-	13	punct	15	0	root	0
0.5	o	CD	14	nummod	15	0	root	0
nbar	o	NNP	15	appos	12	0	root	0
)	o	-RRB-	16	punct	15	0	root	0
to	o	TO	17	prep	10	0	root	0
1.9Rp	o	NNP	18	pobj	17	0	root	0
(	o	-LRB-	19	punct	18	0	root	0
0.1	o	CD	20	nummod	21	0	root	0
nbar	o	NNP	21	appos	18	0	root	0
)	o	-RRB-	22	punct	18	0	root	0
and	o	CC	23	cc	10	0	root	0
the	o	DT	24	det	26	0	root	0
maximum	o	NN	25	amod	26	0	root	0
temperature	o	NN	26	nsubj	27	0	root	0
varies	o	VBZ	27	ccomp	39	0	root	0
from	o	IN	28	prep	27	0	root	0
10	o	CD	29	dep	31	0	root	0
,	o	CD	30	punct	31	0	root	0
000	o	CD	31	nummod	32	0	root	0
K	o	NN	32	pobj	28	0	root	0
to	o	TO	33	prep	28	0	root	0
13	o	CD	34	pobj	33	0	root	0
,	o	CD	35	punct	27	0	root	0
200	o	CD	36	nummod	37	0	root	0
K.	o	.	37	npadvmod	39	0	root	0
It	o	PRP	38	nsubj	39	0	root	0
is	o	VBZ	39	ROOT	39	0	root	0
interesting	o	JJ	40	acomp	39	0	root	0
to	o	TO	41	aux	42	0	root	0
note	o	VB	42	xcomp	39	0	root	0
that	o	IN	43	mark	47	0	root	0
the	o	DT	44	det	46	0	root	0
temperature	o	NN	45	compound	46	0	root	0
profile	o	NN	46	nsubj	47	0	root	0
depends	o	VBZ	47	ccomp	42	0	root	0
strongly	o	RB	48	advmod	47	0	root	0
on	o	IN	49	prep	47	0	root	0
the	o	DT	50	det	52	0	root	0
heating	o	NN	51	compound	52	0	root	0
efficiency	o	NN	52	pobj	49	0	root	0
but	o	CC	53	cc	47	0	root	0
the	o	DT	54	det	55	0	root	0
location	o	NN	55	nsubj	63	0	root	0
of	o	IN	56	prep	55	0	root	0
the	o	DT	57	det	58	0	root	0
peak	o	NN	58	pobj	56	0	root	0
and	o	CC	59	cc	55	0	root	0
the	o	DT	60	det	62	0	root	0
maximum	o	NN	61	amod	62	0	root	0
temperature	o	NN	62	nsubj	63	0	root	0
